,NOC,count_target,count_deidentified
0,0,5155,5159
1,2,1428,1457
2,1,1213,1106
3,3,888,945
4,4,235,258
5,-1,226,190
6,5,78,85
7,6,31,40
8,11,13,24
9,7,9,12
