,NPF,count_target,count_deidentified
0,-1,2061.0,1765.0
1,2,1253.0,1341.0
2,3,824.0,821.0
3,4,736.0,832.0
4,5,425.0,481.0
5,6,219.0,181.0
6,8,73.0,78.0
7,7,72.0,55.0
8,12,12.0,14.0
9,11,11.0,0.0
10,10,10.0,24.0
11,9,0.0,23.0
