,PINCP_DECILE,count_target,count_deidentified
0,-1,1682,1713
1,0,990,988
2,8,913,924
3,9,875,890
4,7,863,847
5,6,799,785
6,5,777,740
7,3,713,686
8,4,693,704
9,2,624,641
10,1,347,358
