,PWGTP,count_target,count_deidentified
0,3,201,0.0
1,5,201,0.0
2,4,200,0.0
3,2,176,0.0
4,10,136,0.0
5,17,134,0.0
6,7,132,0.0
7,11,129,0.0
8,6,128,2014.0
9,18,126,129.0
10,8,117,0.0
11,13,116,0.0
12,1,115,0.0
13,19,112,95.0
14,12,106,0.0
15,9,105,0.0
16,14,99,0.0
17,16,98,356.0
18,15,97,0.0
19,0,84,0.0
