,PINCP,count_target,count_deidentified
0,-1,785,878
1,1,677,640
2,5,301,204
3,7,298,130
4,6,290,187
5,10,283,206
6,4,277,122
7,9,270,260
8,12,266,290
9,8,262,156
10,11,261,201
11,3,245,217
12,15,241,259
13,13,223,276
14,18,207,302
15,16,186,207
16,14,180,283
17,19,178,522
18,17,171,269
19,2,88,102
20,0,7,11
