,PINCP,count_target,count_deidentified
0,-1,1120,419
1,0,578,297
2,10,387,205
3,4,354,221
4,13,353,166
5,15,348,165
6,8,345,170
7,2,328,158
8,7,328,201
9,19,327,95
10,6,326,194
11,12,326,163
12,17,326,130
13,16,325,147
14,18,325,79
15,3,323,173
16,5,298,177
17,9,295,143
18,14,276,128
19,11,273,176
20,1,73,36
