,NOC,count_target,count_deidentified
0,0,3568.0,3365
1,1,602.0,627
2,2,525.0,732
3,-1,474.0,479
4,3,334.0,332
5,4,116.0,115
6,5,49.0,57
7,6,16.0,24
8,9,12.0,11
9,7,0.0,19
