,EDU,count_target,count_deidentified
0,9,4719,4629
1,7,4597,4611
2,5,3910,3858
3,10,2864,2810
4,3,2842,2804
5,4,2310,2285
6,8,1318,1288
7,11,958,1074
8,1,765,793
9,6,760,699
10,-1,759,791
11,12,753,823
12,2,698,788
