,POVPIP,count_target,count_deidentified
0,16,9972,10155
1,-1,1513,1557
2,8,1318,1283
3,3,1311,1275
4,10,1297,1229
5,4,1296,1283
6,6,1292,1259
7,1,1286,1272
8,11,1284,1334
9,2,1283,1290
10,7,1276,1223
11,0,1271,1272
12,5,1264,1246
13,9,1257,1242
14,12,333,333
