,WGTP,count_target,count_deidentified
0,5,229,223
1,2,206,235
2,4,196,215
3,7,194,202
4,6,159,173
5,3,154,158
6,17,148,144
7,0,137,136
8,11,126,131
9,18,122,100
10,9,114,108
11,12,113,131
12,8,105,88
13,14,104,112
14,10,95,79
15,19,92,113
16,13,90,105
17,16,80,73
18,15,77,71
19,1,71,71
