,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP_DECILE,DVET,DREM,DPHY,DEYE,DEAR
PUMA,6.661338147750939e-16,-0.008974440275000904,0.02141380812746465,0.037099674669077015,0.004171211173661607,0.011047685972081792,-0.004185700329376929,0.0015136314352601488,0.026903686804006146,0.004039177779844583,0.11566273652748726,0.014577044467777744,0.004195054808821097,0.011223763415271704,-0.0934667464486344,-0.009692401172516962,0.013132858483574109,0.05135142133240347,0.06488277011696927
AGEP,-0.008974440275000904,-5.551115123125783e-16,0.04043178180875821,0.003939350110418377,0.047968746157143735,0.018665996973914675,0.07097051393978193,0.0033634799311189623,0.044409078495908944,-0.022794059256146693,-0.006372802205714706,0.15941668524091288,0.05605445324769004,0.01941310613635927,-0.09728377323066772,0.015218704861628018,0.03270243648763868,0.0821902268955534,0.12649481820241892
SEX,0.02141380812746465,0.04043178180875821,-8.881784197001252e-16,-0.016915707817719755,-0.0055793456687071715,0.012670474690233743,-0.05336750389511405,-0.02629910038067158,-0.005250792969328552,-0.0009333084243362891,-0.012593176851587732,0.03641763062224773,0.028478448870908054,0.013930880802033155,0.01762938757658533,0.01912083596567992,0.021107684908283877,-0.01587712761546152,0.005196215268106076
MSP,0.037099674669077015,0.003939350110418377,-0.016915707817719755,2.886579864025407e-15,0.030087300350793114,0.00848491619397198,0.04473090198857432,0.016546148102652536,0.017973329708674324,-0.01312933503942685,-0.12973560525236483,-0.03902513624139359,-0.032430852060869375,-0.05204253863330782,0.016664963582418875,0.009973197408216283,-0.011431804718565308,-0.00823509428823499,-0.0216517529647258
HISP,0.004171211173661607,0.047968746157143735,-0.0055793456687071715,0.030087300350793114,-3.552713678800501e-15,0.04972259094232101,-0.031750754005173576,-0.042125191128792705,-0.001121497844049163,0.062121136622092635,0.045946776094351854,-0.0103171971048229,0.02572330787559371,0.0295232985408605,0.03651257894693421,-0.006342896212945634,-0.009755712521851354,-0.025942356495831237,-0.018175866017809884
RAC1P,0.011047685972081792,0.018665996973914675,0.012670474690233743,0.00848491619397198,0.04972259094232101,0.0,0.021257757624288054,0.011796165201094028,-0.039558603109180586,0.03360670805995952,0.06607480571836227,0.019273600358210363,0.062251631282747674,0.05718913213251324,0.03737979287238746,0.012880965728191501,0.01895102965835678,0.02707045886814024,-0.001236189455867124
NOC,-0.004185700329376929,0.07097051393978193,-0.05336750389511405,0.04473090198857432,-0.031750754005173576,0.021257757624288054,0.0,-0.009813834938071753,0.013906203451555632,0.016106975293766035,0.10128221419558442,0.03040995642031008,0.03846440287100572,0.09086564207061193,0.059426293537356484,-0.009042045549938149,-0.008206300618635864,-0.030046616956266536,-0.05877787675904425
NPF,0.0015136314352601488,0.0033634799311189623,-0.02629910038067158,0.016546148102652536,-0.042125191128792705,0.011796165201094028,-0.009813834938071753,0.0,0.0061572089345223735,0.027889005955418746,0.12852720087491054,-0.01167005543739752,0.04423070442967175,0.054742577673591086,0.03843095229364341,-0.020677005620067912,-0.01958764485884129,-0.02667853003975472,-0.03381207234935866
HOUSING_TYPE,0.026903686804006146,0.044409078495908944,-0.005250792969328552,0.017973329708674324,-0.001121497844049163,-0.039558603109180586,0.013906203451555632,0.0061572089345223735,0.0,0.0037190831911637634,-0.11707492254027033,-0.11880073088496154,-0.0410679523307077,-0.12095402702930652,0.00374542849244619,-0.0001781902736884798,-0.04150052959607474,-0.051968457377767646,-0.0309227990137068
OWN_RENT,0.004039177779844583,-0.022794059256146693,-0.0009333084243362891,-0.01312933503942685,0.062121136622092635,0.03360670805995952,0.016106975293766035,0.027889005955418746,0.0037190831911637634,0.0,0.02755114249803045,0.045310225012812316,-0.023542786266622928,0.06555618047573779,0.050321145142533455,0.016413787422546358,0.02437935492562944,0.027443355699446625,-0.03646475628328258
DENSITY,0.11566273652748726,-0.006372802205714706,-0.012593176851587732,-0.12973560525236483,0.045946776094351854,0.06607480571836227,0.10128221419558442,0.12852720087491054,-0.11707492254027033,0.02755114249803045,-5.551115123125783e-16,-0.07754955307039615,-0.10270066122594719,-0.022234043782648427,0.11517496217460153,-0.002357558139912612,-0.025447474004044485,-0.037897869260912306,-0.07665081456036209
INDP_CAT,0.014577044467777744,0.15941668524091288,0.03641763062224773,-0.03902513624139359,-0.0103171971048229,0.019273600358210363,0.03040995642031008,-0.01167005543739752,-0.11880073088496154,0.045310225012812316,-0.07754955307039615,3.3306690738754696e-15,0.01609697902560131,0.02023718696416149,0.01679873818111316,-0.0016623873594856509,-0.0021184134913104224,-0.05621680834289395,-0.05749791525867881
EDU,0.004195054808821097,0.05605445324769004,0.028478448870908054,-0.032430852060869375,0.02572330787559371,0.062251631282747674,0.03846440287100572,0.04423070442967175,-0.0410679523307077,-0.023542786266622928,-0.10270066122594719,0.01609697902560131,-2.1094237467877974e-15,0.011188318471380465,-0.04031287247814944,0.02167966300057539,0.013253372995501445,-0.0031957859490899347,0.0026325416852068058
PINCP_DECILE,0.011223763415271704,0.01941310613635927,0.013930880802033155,-0.05204253863330782,0.0295232985408605,0.05718913213251324,0.09086564207061193,0.054742577673591086,-0.12095402702930652,0.06555618047573779,-0.022234043782648427,0.02023718696416149,0.011188318471380465,3.774758283725532e-15,-0.04260549484633189,0.0072570126554590275,0.00884851969402356,-0.020550443577982143,0.0017461184803889002
DVET,-0.0934667464486344,-0.09728377323066772,0.01762938757658533,0.016664963582418875,0.03651257894693421,0.03737979287238746,0.059426293537356484,0.03843095229364341,0.00374542849244619,0.050321145142533455,0.11517496217460153,0.01679873818111316,-0.04031287247814944,-0.04260549484633189,-3.774758283725532e-15,0.006965439514740889,0.019526356681421744,0.05727263109523235,0.1153265232675389
DREM,-0.009692401172516962,0.015218704861628018,0.01912083596567992,0.009973197408216283,-0.006342896212945634,0.012880965728191501,-0.009042045549938149,-0.020677005620067912,-0.0001781902736884798,0.016413787422546358,-0.002357558139912612,-0.0016623873594856509,0.02167966300057539,0.0072570126554590275,0.006965439514740889,0.0,0.016112468106411315,0.02268619125420994,0.03432914929858117
DPHY,0.013132858483574109,0.03270243648763868,0.021107684908283877,-0.011431804718565308,-0.009755712521851354,0.01895102965835678,-0.008206300618635864,-0.01958764485884129,-0.04150052959607474,0.02437935492562944,-0.025447474004044485,-0.0021184134913104224,0.013253372995501445,0.00884851969402356,0.019526356681421744,0.016112468106411315,0.0,-0.0018136069768887042,0.02298522216919495
DEYE,0.05135142133240347,0.0821902268955534,-0.01587712761546152,-0.00823509428823499,-0.025942356495831237,0.02707045886814024,-0.030046616956266536,-0.02667853003975472,-0.051968457377767646,0.027443355699446625,-0.037897869260912306,-0.05621680834289395,-0.0031957859490899347,-0.020550443577982143,0.05727263109523235,0.02268619125420994,-0.0018136069768887042,7.993605777301127e-15,0.04851788564337739
DEAR,0.06488277011696927,0.12649481820241892,0.005196215268106076,-0.0216517529647258,-0.018175866017809884,-0.001236189455867124,-0.05877787675904425,-0.03381207234935866,-0.0309227990137068,-0.03646475628328258,-0.07665081456036209,-0.05749791525867881,0.0026325416852068058,0.0017461184803889002,0.1153265232675389,0.03432914929858117,0.02298522216919495,0.04851788564337739,9.547918011776346e-15
