,NPF,count_target,count_deidentified
0,2,2568,2564
1,3,1685,1686
2,4,1645,1628
3,-1,1273,1264
4,5,1156,1145
5,6,569,556
6,7,275,280
7,8,81,90
8,13,13,30
9,11,11,33
