,INDP_CAT,count_target,count_deidentified
0,-1,3714,3695
1,6,663,656
2,4,588,579
3,10,579,577
4,11,563,566
5,12,493,492
6,14,459,462
7,9,390,391
8,7,381,380
9,3,357,355
10,15,315,310
11,16,222,223
12,5,193,200
13,13,91,97
14,8,85,82
15,1,64,60
16,2,38,39
17,18,33,39
18,17,26,38
19,0,22,35
