,EDU,count_target,count_deidentified
0,9,1777,1925
1,5,1147,1084
2,7,1069,1043
3,10,992,1004
4,3,668,641
5,4,474,472
6,8,454,467
7,-1,205,190
8,2,203,151
9,12,199,221
10,11,180,219
11,1,158,132
12,6,108,87
