,WGTP,count_target,count_deidentified
0,0,473,484
1,3,435,430
2,11,418,424
3,14,416,381
4,16,408,377
5,5,399,452
6,4,389,400
7,8,388,390
8,7,386,403
9,19,381,368
10,18,380,392
11,17,377,406
12,9,374,347
13,12,371,391
14,15,360,365
15,10,356,329
16,6,353,360
17,2,345,337
18,13,341,338
19,1,284,262
