,PWGTP,count_target,count_deidentified
0,19,416,11
1,16,331,13
2,13,331,3
3,18,328,9
4,12,324,11
5,17,323,9
6,15,318,12
7,14,306,6
8,10,304,12
9,11,295,12
10,8,277,10
11,9,260,10
12,6,234,16
13,7,228,17
14,3,224,11
15,4,209,15
16,5,202,4
17,2,199,18
18,0,149,27
19,1,137,18
