,WGTP,count_target,count_deidentified
0,0,589,80.0
1,19,447,11.0
2,14,394,4.0
3,16,348,14.0
4,15,324,9.0
5,18,316,7.0
6,11,308,10.0
7,17,301,7.0
8,9,298,11.0
9,13,275,10.0
10,10,271,10.0
11,12,264,8.0
12,5,234,13.0
13,8,201,13.0
14,3,198,12.0
15,4,181,11.0
16,7,169,5.0
17,6,159,8.0
18,2,104,1.0
19,1,14,0.0
