,INDP_CAT,count_target,count_deidentified
0,-1,10929,10921
1,10,2678,2697
2,11,1818,1819
3,12,1632,1625
4,14,1572,1564
5,6,1381,1381
6,16,1113,1108
7,4,964,923
8,9,957,966
9,15,821,783
10,3,774,813
11,7,657,644
12,13,423,428
13,8,414,429
14,0,392,402
15,5,225,230
16,1,157,173
17,18,152,154
18,17,101,99
19,2,93,94
