,RAC1P,count_target,count_deidentified
0,1,6658,6654.0
1,6,570,532.0
2,2,180,157.0
3,9,152,132.0
4,8,68,80.0
5,3,3,55.0
6,7,2,24.0
7,5,1,0.0
