,POVPIP,count_target,count_deidentified
0,13,4423,4391
1,-1,385,357
2,1,368,489
3,4,367,150
4,5,367,506
5,0,362,714
6,6,361,177
7,2,358,328
8,3,356,367
9,7,287,155
