,PWGTP,count_target,count_deidentified
0,17,164,121
1,9,157,99
2,4,150,105
3,18,146,116
4,16,143,137
5,15,140,174
6,7,139,109
7,8,137,102
8,5,133,165
9,6,133,150
10,11,133,153
11,2,132,126
12,14,122,158
13,1,120,87
14,3,108,184
15,12,107,131
16,13,106,130
17,19,103,139
18,10,100,106
19,0,95,101
