,NPF,count_target,count_deidentified
0,-1,2189.0,756
1,2,1258.0,2246
2,3,823.0,1823
3,4,766.0,1423
4,5,433.0,849
5,6,155.0,468
6,7,35.0,206
7,8,32.0,124
8,12,12.0,47
9,9,9.0,50
10,10,0.0,48
11,11,0.0,48
