,NOC,count_target,count_deidentified
0,0,5155,5028
1,2,1428,1480
2,1,1213,1154
3,3,888,1000
4,4,235,260
5,-1,226,220
6,5,78,85
7,6,31,30
8,11,13,14
9,7,9,5
