,NOC,count_target,count_deidentified
0,0,16052,16068
1,2,3661,3535
2,1,3128,3038
3,-1,1818,1873
4,3,1764,1668
5,4,517,550
6,5,221,278
7,6,51,68
8,7,29,89
9,9,12,86
