,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,DVET,DEYE
AGEP,4.440892098500626e-16,-0.013763325349233746,-0.06224361828456161,,0.0003316057430124558,-0.0035558235673525534,-0.003963967548874209,-0.00577021033132008
SEX,-0.013763325349233746,0.0,-0.00988093090244311,,0.01906474686952157,-0.0192917138605198,-0.0013173019079988357,-0.005941119828366155
MSP,-0.06224361828456161,-0.00988093090244311,0.0,,0.02804581576784848,0.044834024379716245,-0.012572013448378529,0.013348765417895776
RAC1P,,,,,,,,
HOUSING_TYPE,0.0003316057430124558,0.01906474686952157,0.02804581576784848,,4.551914400963142e-15,0.0011437990656891772,0.0007313093806231678,-0.020666097895552737
OWN_RENT,-0.0035558235673525534,-0.0192917138605198,0.044834024379716245,,0.0011437990656891772,3.774758283725532e-15,0.004280903194226407,0.0383773003299815
DVET,-0.003963967548874209,-0.0013173019079988357,-0.012572013448378529,,0.0007313093806231678,0.004280903194226407,6.661338147750939e-16,0.009676647122266492
DEYE,-0.00577021033132008,-0.005941119828366155,0.013348765417895776,,-0.020666097895552737,0.0383773003299815,0.009676647122266492,1.1102230246251565e-15
