,NPF,count_target,count_deidentified
0,-1,2061,2034.0
1,2,1253,1271.0
2,3,824,828.0
3,4,736,748.0
4,5,425,402.0
5,6,219,241.0
6,8,73,97.0
7,7,72,55.0
8,12,12,0.0
9,11,11,15.0
10,10,10,13.0
