,PINCP,count_target,count_deidentified
0,-1,785,863
1,1,677,649
2,5,301,254
3,7,298,246
4,6,290,246
5,10,283,233
6,4,277,244
7,9,270,202
8,12,266,241
9,8,262,233
10,11,261,222
11,3,245,238
12,15,241,268
13,13,223,258
14,18,207,233
15,16,186,216
16,14,180,236
17,19,178,265
18,17,171,254
19,2,88,93
20,0,7,10
