,EDU,count_target,count_deidentified
0,7,962,902
1,9,945,936
2,5,939,974
3,3,611,577
4,4,598,582
5,10,499,537
6,6,203,215
7,1,202,203
8,8,184,177
9,11,150,171
10,-1,148,164
11,12,133,119
12,2,122,147
