,EDU,count_target,count_deidentified
0,7,1715,1712
1,5,1590,1501
2,9,1574,1673
3,3,1096,1201
4,4,817,766
5,10,550,619
6,8,539,495
7,6,400,354
8,-1,301,263
9,2,272,263
10,1,246,228
11,11,104,113
12,12,72,88
