,EDU,count_target,count_deidentified
0,7,948,956
1,5,947,894
2,4,626,596
3,3,513,573
4,9,497,499
5,8,283,281
6,10,241,273
7,6,189,190
8,1,139,103
9,-1,126,95
10,2,102,115
11,11,57,52
12,12,43,50
