,AGEP,count_target,count_deidentified
0,13,490,466
1,9,426,408
2,17,424,419
3,6,414,409
4,0,413,468
5,10,408,391
6,4,404,416
7,5,390,390
8,18,387,411
9,19,379,436
10,1,375,370
11,3,374,355
12,16,372,373
13,8,355,307
14,7,346,351
15,14,342,357
16,12,339,339
17,15,335,316
18,2,332,329
19,11,329,323
