,POVPIP,count_target,count_deidentified
0,13,4423,44
1,-1,385,39
2,1,368,34
3,4,367,8
4,5,367,6
5,0,362,27
6,6,361,6
7,2,358,6
8,3,356,8
9,7,287,4
