,NPF,count_target,count_deidentified
0,2,2057,42.0
1,-1,1686,97.0
2,4,1663,17.0
3,3,1259,15.0
4,5,556,6.0
5,6,311,5.0
6,7,93,0.0
7,9,9,0.0
