,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,DVET,DEYE
AGEP,0.0,-0.08584929640769648,-0.03609809944874799,,-0.07271212022389814,-0.031259911086921555,,0.18071189021466255
SEX,-0.08584929640769648,1.1102230246251565e-16,0.10715284011941684,,0.06869657442796252,-0.04702939415614276,,0.07478313979532605
MSP,-0.03609809944874799,0.10715284011941686,0.0,,0.03799113487213007,-0.11389547446800462,,0.1303320457641861
RAC1P,,,,,,,,
HOUSING_TYPE,-0.07271212022389814,0.06869657442796252,0.03799113487213007,,0.0,-0.005809589087254152,,0.09205128675090855
OWN_RENT,-0.031259911086921555,-0.04702939415614277,-0.11389547446800462,,-0.005809589087254152,-2.220446049250313e-16,,-0.11986627325674154
DVET,,,,,,,,
DEYE,0.18071189021466255,0.07478313979532607,0.1303320457641861,,0.09205128675090855,-0.11986627325674155,,0.0
