,PINCP_DECILE,count_target,count_deidentified
0,-1,1120,1100
1,9,869,923
2,8,782,832
3,7,733,761
4,6,678,733
5,4,593,594
6,0,591,570
7,1,591,490
8,2,570,538
9,3,557,476
10,5,550,572
