,EDU,count_target,count_deidentified
0,9,4719,4722
1,7,4597,4594
2,5,3910,3915
3,10,2864,2861
4,3,2842,2833
5,4,2310,2306
6,8,1318,1323
7,11,958,965
8,1,765,768
9,6,760,758
10,-1,759,759
11,12,753,754
12,2,698,695
