,PINCP_DECILE,count_target,count_deidentified
0,-1,4247,4249
1,9,3308,3309
2,0,3121,3121
3,2,2301,2302
4,8,2295,2295
5,3,2062,2062
6,4,2046,2037
7,7,2012,2019
8,5,1980,1977
9,1,1951,1953
10,6,1930,1929
