,PINCP,count_target,count_deidentified
0,-1,398,435
1,1,283,279
2,8,127,131
3,4,125,125
4,19,122,167
5,7,118,106
6,13,118,136
7,5,116,107
8,3,113,95
9,10,110,90
10,11,109,105
11,14,108,117
12,17,108,108
13,16,106,139
14,9,105,106
15,15,104,81
16,6,103,90
17,12,100,106
18,18,95,96
19,2,40,47
20,0,4,6
