,PINCP_DECILE,count_target,count_deidentified
0,-1,4247,4244
1,9,3308,3309
2,0,3121,3095
3,2,2301,2242
4,8,2295,2306
5,3,2062,2140
6,4,2046,2054
7,7,2012,2056
8,5,1980,1972
9,1,1951,1937
10,6,1930,1898
