,NOC,count_target,count_deidentified
0,0,1519.0,1504
1,1,342.0,325
2,2,340.0,316
3,3,237.0,243
4,-1,100.0,119
5,4,60.0,63
6,5,14.0,18
7,6,0.0,7
8,7,0.0,19
9,11,0.0,13
