,EDU,count_target,count_deidentified
0,7,824,844
1,5,765,711
2,9,735,752
3,4,569,563
4,3,470,466
5,10,356,372
6,8,239,262
7,6,156,140
8,1,135,134
9,-1,123,106
10,11,90,88
11,2,84,82
12,12,62,71
