,PINCP_DECILE,count_target,count_deidentified
0,-1,4247,282
1,9,3308,522
2,0,3121,199
3,2,2301,84
4,8,2295,209
5,3,2062,91
6,4,2046,56
7,7,2012,156
8,5,1980,92
9,1,1951,108
10,6,1930,15
