,Sub-Sample Size,Sub-Sample K-Marginal Score,Deidentified Data K-marginal score,Absolute Diff. From Deidentified Data K-marginal Score
0,1%,569,484,85
1,5%,779,484,295
2,10%,832,484,348
3,20%,880,484,396
4,30%,911,484,427
5,40%,929,484,445
6,50%,939,484,455
7,60%,953,484,469
8,70%,961,484,477
9,80%,970,484,486
10,90%,980,484,496
