,PINCP,count_target,count_deidentified
0,-1,385,369
1,0,201,199
2,10,142,149
3,13,126,116
4,15,122,141
5,4,122,111
6,8,116,124
7,16,116,122
8,9,116,130
9,7,116,106
10,11,111,127
11,14,110,117
12,12,109,117
13,17,108,123
14,5,102,76
15,6,95,95
16,2,95,84
17,19,88,78
18,18,86,89
19,3,81,58
20,1,21,24
