,RAC1P,count_target,count_deidentified
0,1,2179.0,2046
1,2,271.0,180
2,6,121.0,90
3,8,102.0,91
4,9,90.0,75
5,3,8.0,24
6,7,6.0,8
7,5,5.0,19
8,4,0.0,18
