,PINCP,count_target,count_deidentified
0,-1,4247,1414
1,1,3007,1217
2,12,1180,541
3,13,1177,530
4,9,1164,458
5,3,1163,413
6,15,1159,592
7,6,1157,388
8,7,1157,408
9,10,1151,531
10,16,1151,613
11,17,1151,667
12,19,1151,831
13,18,1149,735
14,5,1148,342
15,4,1143,442
16,8,1125,442
17,11,1124,488
18,14,1114,548
19,2,405,141
20,0,30,15
