,PUMA,count_target,count_deidentified
0,8,2496,2502
1,16,2298,2323
2,12,1978,1980
3,5,1574,1555
4,19,1570,1559
5,2,1547,1602
6,7,1374,1382
7,13,1365,1316
8,3,1326,1314
9,18,1269,1247
10,17,1250,1258
11,4,1231,1195
12,10,1185,1177
13,15,1154,1151
14,1,1051,1066
15,9,1028,1046
16,11,1002,983
17,14,963,989
18,6,855,852
19,0,737,756
