,POVPIP,count_target,count_deidentified
0,16,864,1005
1,10,178,151
2,1,174,147
3,2,153,124
4,4,141,105
5,3,140,134
6,0,137,214
7,7,118,118
8,6,116,115
9,5,114,81
10,8,111,107
11,9,108,92
12,11,105,135
13,-1,79,46
14,12,74,87
