,NPF,count_target,count_deidentified
0,-1,8043,373.0
1,2,6625,153.0
2,4,4317,59.0
3,3,4213,104.0
4,5,2300,33.0
5,6,1000,12.0
6,7,346,8.0
7,8,235,5.0
8,9,75,2.0
9,10,41,0.0
10,12,36,3.0
11,11,22,0.0
