,POVPIP,count_target,count_deidentified
0,16,3401,3235
1,3,467,103
2,7,460,346
3,10,460,410
4,8,459,239
5,2,457,842
6,0,454,821
7,11,451,358
8,1,450,972
9,4,448,150
10,5,447,318
11,9,447,520
12,6,445,465
13,12,231,473
14,-1,199,24
