,NOC,count_target,count_deidentified
0,0,5155,5066
1,2,1428,1420
2,1,1213,1228
3,3,888,872
4,4,235,242
5,-1,226,167
6,5,78,122
7,6,31,84
8,11,13,42
9,7,9,33
