,PINCP_DECILE,count_target,count_deidentified
0,-1,1120,1120
1,9,869,868
2,8,782,756
3,7,733,806
4,6,678,662
5,4,593,606
6,0,591,597
7,1,591,582
8,2,570,492
9,3,557,583
10,5,550,562
