,INDP_CAT,count_target,count_deidentified
0,-1,2703,2691.0
1,10,826,853.0
2,11,564,603.0
3,12,539,599.0
4,6,493,490.0
5,4,441,406.0
6,9,415,387.0
7,14,408,366.0
8,3,250,226.0
9,16,201,173.0
10,15,195,167.0
11,8,150,149.0
12,7,149,170.0
13,13,129,149.0
14,5,89,103.0
15,2,34,35.0
16,0,18,36.0
17,17,15,10.0
18,18,14,21.0
19,1,1,0.0
