,EDU,count_target,count_deidentified
0,7,1715,1665
1,5,1590,1559
2,9,1574,1687
3,3,1096,1114
4,4,817,823
5,10,550,540
6,8,539,564
7,6,400,368
8,-1,301,304
9,2,272,264
10,1,246,220
11,11,104,101
12,12,72,67
