,NOC,count_target,count_deidentified
0,0,16052,16036
1,2,3661,3661
2,1,3128,3132
3,-1,1818,1819
4,3,1764,1761
5,4,517,516
6,5,221,220
7,6,51,60
8,7,29,25
9,9,12,23
