,NOC,count_target,count_deidentified
0,0,5155,5237
1,2,1428,1408
2,1,1213,1175
3,3,888,838
4,4,235,247
5,-1,226,239
6,5,78,89
7,6,31,24
8,11,13,7
9,7,9,12
