,NPF,count_target,count_deidentified
0,2,2568,2648
1,3,1685,1725
2,4,1645,1689
3,-1,1273,1350
4,5,1156,1043
5,6,569,502
6,7,275,227
7,8,81,70
8,13,13,9
9,11,11,13
