,WGTP,count_target,count_deidentified
0,7,541,537
1,12,487,494
2,11,483,464
3,4,479,513
4,0,475,511
5,5,472,462
6,9,472,446
7,2,468,495
8,18,467,479
9,17,467,452
10,19,463,467
11,16,462,476
12,13,459,497
13,1,458,509
14,14,458,405
15,6,451,394
16,15,449,489
17,8,434,424
18,10,424,343
19,3,407,419
