,PWGTP,count_target,count_deidentified
0,5,520,494
1,7,519,490
2,10,502,451
3,13,486,484
4,15,484,537
5,1,475,483
6,3,475,479
7,18,466,453
8,16,465,491
9,17,461,432
10,19,461,510
11,4,461,493
12,14,454,475
13,2,453,467
14,11,451,439
15,0,448,486
16,12,447,395
17,9,436,401
18,8,412,419
19,6,400,397
