,NPF,count_target,count_deidentified
0,-1,1776.0,886
1,2,1081.0,439
2,3,711.0,300
3,4,543.0,189
4,5,323.0,109
5,6,130.0,33
6,8,40.0,26
7,7,21.0,14
8,9,9.0,1
9,11,0.0,2
